ï»¿facilityId,serviceLineLevel3,orderId,lineItemId,sku,masterMaterialId,batchId,deviationNumber,deviationDescription,deviationTypeName,deviationStatusName,deviationSeverityName,deviationOpenedDate,deviationClosedDate,deviationProjectedCloseDate,START_DATE,END_DATE,ACTIVE,CHANGE,DATE_SENT,ID,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1013,Steriles         ,50589,10,362281,7000000098,0010621782,"580,340        ",nRXILYRLOLTRXZO VMERILMNVMGZO NLMRGLIRMT VCXFIHRLM hGVIROV zIVZ 5 -  KVIHLMMVO                                            ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nZQLI                ,2023.06.06         ,2023.07.06         ,2023.07.06                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1005,OSD              ,55355,10,3000004486,7000000413,CMFBV     ,"298,572        ","uLIVRTM NZGVIRZO DZH LYHVIEVW WFIRMT TIZMFOZGRLM LU lgvaoz (zkivnrozhg) 69nt uxg yfop kpt, YZGXS# xnuye.                  ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.04.05         ,2022.06.30         ,2022.05.05                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,51739,10,362987,7000000178,AVZVA457A ,"649,354        ",xSZNYVI EZXFFN HVG KLRMG MLG IVZXSVW WFIRMT VEZXFZGRLM HGVK                                                               ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.09.25         ,2023.11.29         ,2023.11.23                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,51739,10,362987,7000000178,AVZVA457A ,"681,648        ",nRC-FK                                                                                                                    ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.11.14         ,2023.12.19         ,2023.12.14                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,51739,10,362987,7000000178,AVZVA457A ,"683,517        ",LFG LU ORNRG ULI XIRGRXZO WVUVXGH ZUGVI hzer HGVK pd: er ORNRGH VCXVWVVW                                                  ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.11.16         ,2024.01.25         ,2023.12.16                 ,"Jan 26, 2024","Dec 31, 9000",Y     ,U     ,"Jan 26, 2024, 11:56:49.423 AM",1 ,,,,
1011,Steriles         ,2023300772,170,415728,5000000607,SP2106N   ,"421,331        ","zMLNZOLFH Ks RWVMGRURVW YB KILWFXGRLM KVIHLMMVO, YZGXS h77yfop983                                                         ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.10.20         ,2022.11.25         ,2022.11.19                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1011,Steriles         ,2023300772,170,415728,5000000607,SP2106N   ,"479,593        ",vCXVVWRMT GLOOVIZMXV ORNRG ULI YZGXS hk7893                                                                               ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.01.16         ,2023.02.07         ,2023.02.15                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,58247,10,4000004696,5000003414,CPGWT     ,"537,147        ",hGZMWZIW DVRTSG LFG LU YZOZMXV XZORYIZGRLM IZMTV WFIRMT WRHHLOFGRLM GVHG LM kLMZGRMRY                                     ,wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2023.03.31         ,2023.03.31         ,2023.04.30                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,39782,10,360147,7000000138,21C051    ,"118,552        ",sg VCXVVWRMT LU 879 NRMFGVH LU KIV-HGLKKVIVW ERZOH HGLIZTV RM ozu GILOOVB                                                 ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2021.06.01         ,2021.07.07         ,2021.07.01                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,50677,10,510477,5000000758,MM325M0301,"563,091        ",yRLRMWRXZGLI DRGS KLHRGREV IVHFOG (TILDGS) zgx 984 - hg7 pVB dLIW eZORWZGRLM                                              ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.05.10         ,2023.09.18         ,2023.06.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
